Tissue,CT,Gene
Adrenal glands,Delta cells,"PDX1,FFAR4,SST,PCSK9,RBP4,PAX4,RESP18,HHEX,ISL1,SCGN,KCNK16,IAPP,FXYD2,NPTX2,GPC5-AS1,UCP2,LEPR,BAIAP3,MS4A8,CASR,BCHE,GABRB3,UNC5B,EDN3,PRG4,GHSR,FRZB,PCSK1,GABRG2,POU3F1,BHLHE41,EHF,LCORL,ETV1"
Adrenal glands,Dendritic cells,"IL6,CD86,CD83,CD1A,CR2,TLR9,CD1C,CD209,LAMP3,CD1B,TREM2,FABP4,S100A9,ARG1,HLA-DRA,HLA-DQA1,HLA-DMB,HLA-DMA,HLA-DQB1,CLEC10A,HLA-DRB1,HLA-DPA1,HLA-DPB1,DNASE1L3,CLEC9A,LILRB2,ETV6,CD163,CXCR4,CXCL8,VSIG4,NR4A3,CCR7,TRAF1,RELB,BATF3,CCL22,SLAMF7,XCR1,CXCL16,SCIMP,FCGR2B,FGD2,RAB7B,NAAA,HCK,CD180,HFE,CCR2,RYR1,ITGAE,SEMA4A,DPP4,SLAMF8,CXCR3,BTLA,FLT3,TLR3,ITGAX,GPR132,ADAM19,AP1S3,ASS1,ADGRG5,GPR68,KIT,KMO,P2RY10,RAB30,SEPT6,ZBTB46,S100A4,CLEC7A,AIF1,LST1,IRF8,ADGRE1,CCL17,CD14,CD207,CD8A,CX3CR1,ITGAM,LY75,PDCD1LG2,SIRPA,FCGR3A,SERPINA1,AXL,PPP1R14A,SIGLEC6,CD22,DAB2,S100A8,VCAN,LYZ,FCER1A,C1ORF54,CAMK2D,NAPSA,PLBD1,RNASE6,SLC11A1,PDPN,S100B,CD28,PPL,SLURP1,HLA-DRB5,SERPINB9"
Adrenal glands,Distal tubule cells,"CLDN8,SLC12A3,UMOD,JAG1,CALB1,PVALB,PGAM2,WNK4,SGMS2,SLC16A7,LHX1,ABCA13,EMX1,TRPM6,CWH43,TRPM7,UROC1,TFRC,TSC22D2,LARP1B,CLCNKB,KLHL3,KLK1,KCNJ1,HOXD8,KL,EGF,TMEM213,TMEM52B,DEFB1,FXYD2,USMG5,TRHDE,KCNJ16,RHCG,SOSTDC1,SCNN1A,VDR,SLC8A1,AQP2,AVPR2"
Adrenal glands,Dopaminergic neurons,"TH,SLC6A3,FOXA2,KCNJ6,NR4A2,LMX1B,CACNA2D2,CADPS2,CHRNA6,MAPK8IP2,NTN1,PRKCG,SCN2A,TENM1,ZIM3,DDC,SLC18A2,SLC18A3,NEUROD6,SMAD3,PITX3"
Adrenal glands,Ductal cells,"CFTR,HNF1B,KRT20,MUC1,ONECUT1,AMBP,HHEX,ANXA4,SPP1,PDX1,SERPINA3,CFB,GDF15,AKR1C3,MMP7,DEFB1,SERPING1,TSPAN8,CLDN10,SLPI,SERPINA5,PIGR,CLDN1,LGALS4,PERP,PDLIM3,WFDC2,SLC3A1,AQP1,ALDH1A3,VTCN1,KRT19,TFF1,TFF2,KRT7,CLDN4,LAMB3,TACSTD2,CCL2,DCDC2,CXCL2"
Adrenal glands,Embryonic stem cells,"MYC,FOXD3,POU5F1,FUT4,CD24,ITGA4,CDH1,ABCG2,PODXL,ALPP,ZIC1,PRDM5,ANO6,CDK8,SLC46A2,TEX19,ZSCAN10,KCNIP3,PCGF2,NANOG,GAL,PITX2,BCL3,SALL4,TDGF1,HOXB5,BNIP3,GJC1,TRIM6,PUM2,GJB4,SOX15,UTF1,GJB1,FBXO15,PML,THY1,KIT,CD59,PROM1,PECAM1,ITGA6,FZD1,KITLG,SOX2,ZFP42,ZFX,TAF8,HMGA2,NACC1,NR6A1,STAT3,LEF1,L1TD1,KHDC3L,GDF3,DPPA5,DPPA4,DPPA2,DPPA3,SMAD1,SMAD5,SMAD9,SMAD4,SMAD2,SMAD3,CTNNB1,HHEX,ESRRB,DNMT3B,PIWIL1,PIWIL2,PIWIL4,LIFR,IL6ST"
Adrenal glands,Endothelial cells,"PECAM1,ICAM1,ITGB3,SELE,VCAM1,MCAM,PROCR,TEK,FLT4,APLN,VWF,NOS3,THBD,PLVAP,ACKR1,SLCO1C1,TMEM100,ADGRF5,ABCG2,PODXL,NOSTRIN,MFSD2A,ACVRL1,AQP1,MYLK,RASIP1,FLI1,TIE1,APLNR,NRP2,ADAMTS1,RPRM,FABP4,GPIHBP1,FHL2,LOX,KLK1,ADORA2A,ARAP3,ARHGEF15,CARD10,CLEC14A,DLL4,ESM1,GIMAP5,GJA4,MMRN2,NOTCH4,NPR1,PRKCH,RASGRP3,ROBO4,SCARF1,SOX18,SOX7,SPNS2,THSD1,APOLD1,EMP1,CD36,RNASE1,CTGF,HYAL2,CLEC4G,GPR182,F8,RBP7,CALCRL,FOXF1,CASZ1,AQP7,TCF15,CD300LG,BTNL9,MEOX2,ERG,HEXIM1,GLYCAM1,CD55,MMRN1,C7,RAMP3,VEGFC,GJA5,HEY1,RND1,BDP1,CD46,MEOX1,CCL19,MADCAM1,CYP1B1,IRX3,BIRC2,LYVE1,SEMA3D,EMCN,WFDC1,ADGRL4,VWA1,ECE1,PTPRB,CLDN5,TBX1,SEMA7A,FOXF2,PDGFB,ECSCR,ELK3,CDH5,PLEC,STAB1,TGFBR2,CD93,CXCL1,RGS5,SLC7A5,ENG,KDR,SLC2A1,EGFL7,FLT1,EPAS1,EDNRB,KCNJ8,CD82,CHST1,TSPAN8,ETS1,CD34,PDPN,PROX1,EHD3,USHBP1,MYF6,OIT3,IL1A,BMP2,C1QTNF1,PCDH12,DPP4,PALMD,POSTN,BMX,SLC38A5,XDH,MGLL,SLC9A3R2,ICAM2,MGP,ADIRF,SRPX,CAV1,HSPG2,CCL14,CLEC1B,FCN2,FCN3,CRHBP,CCL23,SGK1,DNASE1L3,LIFR,PCAT19,CDKN1C,INMT,PTGDS,FAM167B,LTC4S,STAB2"
Adrenal glands,Endothelial cells (aorta),"ITGA5,TMTC2,NR1D1,HFE,PKN3,SULT1A1,TMTC1,SHE,ITGBL1,GRASP,ENPP4,ARHGEF15,TMEM184B,FOXC2,DHH,DENND5B,KAZALD1,FGD5,FAS,ITGB4,EMILIN1,MICAL2,NKX2-3,STXBP6,SYNPO,ATP2A3,GIMAP4,CMKLR1,ITGA9,SMAD6,EFNB2,LOX,FZD4,NTN1,NPR1,ARL4D,HEY2,HYAL2,FKBP7,NXN,PDIA5,APH1B,SOX18,WBP1L,LAMB2,CHST12,P3H3,KLK10,MALL,CLEC1A,MARVELD1,FAM198B,THBD,NOS3,TNS2,ATL2,ACKR3,COL4A4,CALCRL,COL4A3,PER3,STAB1,CYP1B1,EPHX2,KLK8,BACE2,BMP6,SULF1,CPQ,PI16,AMIGO2,PTPRJ,TRIM47,LMCD1,PDE3A,BMX,PROCR,SMOC1,CRACR2B,GJA5,BMP4,SOD3,ADH7,PCOLCE2,PTGIS,ACE,GXYLT2,CYTL1,EHD3"
Adrenal glands,Endothelial cells (blood brain barrier),"ABCG2,GFAP,GPR37L1,SLC13A4,SLC19A1,SLC23A2,SLC38A3,TNFRSF19,TNFRSF21,FOXF2,FOXL2,FOXQ1,LEF1,PPARD,ZIC3,ALCAM"
Adrenal glands,Enteric glia cells,"GFRA3,MPZ,LGI4,RGS16,ALDH1A1,L1CAM,CXCL14,DKK3,INTS6,DHRS3,SOX10,GFAP,S100B,NOS2,FOXD3,ALDH1A3,SLC18A2"
Adrenal glands,Enteric neurons,"HIVEP3,PLEKHA5,IGF2BP3,ARHGAP26,TTBK2,ASTN1,CACNA1E,TUB,FILIP1,GCNT2,VEZT,RET,AHDC1,MAP6,RGMB,FBXO7,PPP2R5B,SNX21,FSTL5,LIX1,RGS3,CYTH3,TSHZ1,STXBP5,ATF5,DMKN,CACNA1B,PIK3CA,ZDHHC2,MYL1,EML5,MFSD6,SCN7A,ARHGEF28,HAND2,VSTM2L,FAM19A5,EFNA5,HOXB4,TLX2,GOLGA7B,SLC18A3,TOX,CELF6,GPR22,PLCE1,CYB561,GFRA2,FLOT2,SLC7A14,JPH3,CASZ1,TAC1,SCN3A,CHRNA3,PARVA,SLC10A4,TM4SF4,FAM19A1,SLC5A7,PHOX2B,PIRT,HOXB5,HOXA5,GAL,CARTPT,NMU,VIP,CCK"
Adrenal glands,Enterochromaffin cells,"REG4,AFP,SLC18A1,LMX1A,TRPA1,FGF1,PIEZO2,ADGRG4,ADM,TPH1,CRH,GJB1"
Adrenal glands,Enterocytes,"GATA4,LYPD8,NLRP6,KRT20,MYO1A,PPARG,SLC15A1,FLOT2,APOBEC1,PLIN3,SLC10A2,SLC40A1,SLC5A1,TTC7A,NPC1L1,FABP1,ANPEP,CA1,CPS1,DPP4,SLC2A5,ALPI,FABP2,LCT,SI,VIL1,FUOM,FAHD1,OTC,CDH17,KHK,ABHD11,VDR,EHF,CDC42EP5,CASP6,HNF4A,AQP1,TMEM45B,RGMB,PDHA1,CDO1,ELF3,KRTCAP3,DEGS2,TMC4,PPP1R14D,TM4SF5,RNF186,CEACAM1,KLF5,CDX1,CDX2,CLDN15,ASCL2,SMOC2,PRR15L,FBP2,SDSL,FERMT1,ALDOB,MUC13,PHGR1,PRAP1,CCL25,LGALS2,SPON2,ASPN,CTRB1,CD55,CDH19,SLC35F1,G0S2,GULP1,NKD2,COL18A1,SOX10,COL20A1,PMEPA1,GFRA2,ART3,SLC26A2,PRSS2,L1CAM,SLC11A2,SLC26A3,APOA1,APOA4,EPHX2,GSTM3,CREB3L3,MEP1A,FABP6,RBP2,CYP3A4,APOB,MTTP,SLC2A2,APOC3,UGT2B17,CD36,REG3A,ISX,AQP10,S100G,BEST4,SLC28A1,SLC28A2,SLC30A10,SLC51B,VNN1,SLC23A1,TREH,ABCC2,ABCG5,SLC52A1,CYP3A7,DMBT1,ABCG8,GSTA1,CYBRD1,ABCG2,NR1H4,DAB1,TM6SF2,NR5A2,PDZK1,ACSL5,AQP11,AQP7,AQP8,HMOX1,SLC39A5,SLC51A,TRPM6,MOGAT2,GLS,MAOA,DGAT1,DGAT2"
Adrenal glands,Enteroendocrine cells,"NPSR1,FFAR3,SCN3A,NEUROG3,FFAR1,ARX,NKX2-2,SCT,CCK,GFRA3,VWA5B2,NEUROD1,SCGN,PCSK1,ISL1,TAC1,RIMBP2,PAX6,GIP,GLP1R,PYY,GLP2R,GAST,NTS,SST,MLN,GPR119,GCG,CHGB,GAL,NUCB2,IAPP,GHRL,CHGA,TRPA1,ENPP2,AFP,VEGFA,FFAR4,MC4R,INSL5,SSTR2,ALCAM,TAS1R2,TAS1R3,GNAT3"
Adrenal glands,Eosinophils,"C3AR1,FUT4,FCER2,C5AR1,CXCR3,CCR1,CCR3,CD244,PTGDR2,S100A9,SIGLEC8,SIGLEC10,PGLYRP1,LTC4S,EPX,CD69,RNASE3,RNASE2,IL5,PRG2,PRG3,CPA3,IKZF2,CCL11,CCL5,CSF2,IL5RA"
