Tissue,CT,Gene
Blood,T cell,"Cd3e,Cd3e,Pdcd1,Cd4,Cd8a,Cd3e,Cd3e,Cd3e,Itgae,Sell,Tcirg1"
Blood vessel,B cell,"Cd19,H2-DMb2,H2-DMb2,Cd19,Cd79a,Cd19,Cd79a"
Blood vessel,CD8+ T cell,"Mki67,Nt5e,Sell,Itgae,Il2ra"
Blood vessel,Dendritic cell,"Itgam,Xcr1,Clec10a,Cd209a,Clec9a,Ccr7,Ccr7,Mmp25,Flt3,Cd209a"
Blood vessel,Endothelial cell,"Eng,Icam1,Icam2,Ifngr1,Il3ra,Vcam1,Cdh5,Pcsk1,Fabp4,Igfbp5,Pecam1,Glul,Alpl,Mcam,Nos3,Flt1,Vwf,Cdh5,Nts,Cldn5,Ccl21a,Pecam1,Ctla2a,Cdh5,Kdr,Cdh5,Pecam1,Tie1,Icam2,Nos3,Emcn,Cdh5,Pecam1,Vwf,Rgcc,Cd36,Gpihbp1,Vwf,Cdh5,Tie1"
Blood vessel,Endothelial progenitor cell,"Sox18,Fli1,Sox18,Gata2,Sox9,Tie1,Tie1,Ets1,Lyve1,Cdh5,Cldn5,Il33,Ets2,Cldn5,Ets2,Nfatc4,Il33,Gata2,Cdh5,Nos3,Pecam1,Esam,Kdr,Nos3,Cdkn1c,Nfatc4,Aldh1a1,Fli1,Sox9,Ets1,Esam,Vwf,Pecam1,Aldh1a1,Kdr,Lyve1,Vwf,Cdkn1c,Bst1,Bst1"
Blood vessel,Fibroblast,"Igfbp5,Serpina3n,Pomc,Pdgfra,Cygb,Wif1,Clec3b,Mfap5,Dpep1,Hsd11b1,Pi16,Ecrg4,Comp,C3,Ly6a,Prg4,Smoc2,Gdf10,Lcn2,Ecrg4,Prg4,Fn1,Spp1,Timp1,Dcn,Bgn,Medag,Lum,Dpep1,Pi16,Ly6a,S100a4,Pdgfra,Serpinh1,Clec3b,Pdgfra,Lum"
Blood vessel,M1 macrophage,"Nos2,Cxcl11,Cxcl2,Cxcl10,Cxcl1"
Blood vessel,M2 macrophage,"Arg1,Wnt7b,Wnt5a,Retnla,Pdgfb,Mrc1"
Blood vessel,Macrophage,"Iba1,Adgre1,Adgre1,Fcgr1,Mafb,Csf1r,Adgre1,C1qb,Cxcl2,Cd74,Lyz2,Ccl4,Cd68,Lgals3,Lgals3,C1qb,C5ar1,C1qa,C1qc,Mrc1,Actg2,Itgam,Cd14,Adgre1,Mrc1,Retnla"
